NTP Timestamp (ms),Arduino Timestamp (ms),Frequency (Hz)
2025-04-23 23:37:26.622,12420,50.1000
2025-04-23 23:37:26.643,12440,50.1100
2025-04-23 23:37:26.661,12460,50.1000
2025-04-23 23:37:26.681,12480,50.1000
2025-04-23 23:37:26.701,12500,50.1100
2025-04-23 23:37:26.719,12520,50.1100
2025-04-23 23:37:26.743,12540,50.1100
2025-04-23 23:37:26.763,12560,50.1100
2025-04-23 23:37:26.783,12580,50.0900
2025-04-23 23:37:26.803,12600,50.1200
2025-04-23 23:37:26.819,12620,50.1100
2025-04-23 23:37:26.844,12640,50.1100
2025-04-23 23:37:26.864,12660,50.1000
2025-04-23 23:37:26.881,12680,50.1000
2025-04-23 23:37:26.903,12700,50.1000
2025-04-23 23:37:26.919,12720,50.1200
2025-04-23 23:37:26.944,12740,50.1100
2025-04-23 23:37:26.963,12760,50.1100
2025-04-23 23:37:26.980,12780,50.1000
2025-04-23 23:37:27.004,12800,50.0900
2025-04-23 23:37:27.021,12820,50.1200
2025-04-23 23:37:27.045,12840,50.1200
2025-04-23 23:37:27.063,12860,50.1000
2025-04-23 23:37:27.082,12880,50.1100
2025-04-23 23:37:27.101,12900,50.1000
2025-04-23 23:37:27.115,12920,50.1000
2025-04-23 23:37:27.143,12940,50.1200
2025-04-23 23:37:27.163,12960,50.1100
2025-04-23 23:37:27.184,12980,50.1100
2025-04-23 23:37:27.204,13000,50.1000
2025-04-23 23:37:27.218,13020,50.1000
2025-04-23 23:37:27.243,13040,50.1100
2025-04-23 23:37:27.262,13060,50.1200
2025-04-23 23:37:27.283,13080,50.1100
2025-04-23 23:37:27.295,13100,50.1000
2025-04-23 23:37:27.316,13120,50.0900
2025-04-23 23:37:27.344,13140,50.1100
2025-04-23 23:37:27.363,13160,50.1200
2025-04-23 23:37:27.384,13180,50.1100
2025-04-23 23:37:27.401,13200,50.1100
2025-04-23 23:37:27.412,13220,50.1000
2025-04-23 23:37:27.443,13240,50.1000
2025-04-23 23:37:27.462,13260,50.1200
2025-04-23 23:37:27.484,13280,50.1100
2025-04-23 23:37:27.496,13300,50.1100
2025-04-23 23:37:27.524,13320,50.1100
2025-04-23 23:37:27.545,13340,50.1000
2025-04-23 23:37:27.563,13360,50.1100
2025-04-23 23:37:27.579,13380,50.1100
2025-04-23 23:37:27.602,13400,50.1200
2025-04-23 23:37:27.621,13420,50.1100
2025-04-23 23:37:27.643,13440,50.1000
2025-04-23 23:37:27.663,13460,50.1000
2025-04-23 23:37:27.684,13480,50.1100
