NTP Timestamp (ms),Arduino Timestamp (ms),Frequency (Hz)
2025-04-27 21:53:50.084,12420,50.0800
2025-04-27 21:53:50.131,12440,50.0600
2025-04-27 21:53:50.203,12460,50.1300
2025-04-27 21:53:50.248,12480,50.0500
2025-04-27 21:53:50.297,12500,50.0700
2025-04-27 21:53:50.344,12520,50.1500
2025-04-27 21:53:50.396,12540,50.0700
2025-04-27 21:53:50.443,12560,50.0500
2025-04-27 21:53:50.490,12580,50.1700
2025-04-27 21:53:50.539,12600,50.0600
2025-04-27 21:53:50.588,12620,50.0200
2025-04-27 21:53:50.638,12640,50.1700
2025-04-27 21:53:50.686,12660,50.0400
2025-04-27 21:53:50.735,12680,50.0800
2025-04-27 21:53:50.784,12700,50.1400
2025-04-27 21:53:50.830,12720,50.0400
2025-04-27 21:53:50.880,12740,50.1300
2025-04-27 21:53:50.928,12760,50.0900
2025-04-27 21:53:50.977,12780,50.0900
2025-04-27 21:53:51.024,12800,50.0900
2025-04-27 21:53:51.074,12820,50.1000
2025-04-27 21:53:51.116,12840,50.0200
2025-04-27 21:53:51.163,12860,50.1700
2025-04-27 21:53:51.211,12880,50.0600
2025-04-27 21:53:51.261,12900,50.0500
2025-04-27 21:53:51.308,12920,50.1800
2025-04-27 21:53:51.357,12940,50.0400
2025-04-27 21:53:51.401,12960,50.0400
2025-04-27 21:53:51.448,12980,50.1700
2025-04-27 21:53:51.503,13000,50.0600
2025-04-27 21:53:51.545,13020,50.0300
2025-04-27 21:53:51.601,13040,50.1700
2025-04-27 21:53:51.647,13060,50.0600
2025-04-27 21:53:51.695,13080,50.0300
2025-04-27 21:53:51.746,13100,50.1800
2025-04-27 21:53:51.795,13120,50.0400
2025-04-27 21:53:51.843,13140,50.0600
2025-04-27 21:53:51.893,13160,50.1800
2025-04-27 21:53:51.940,13180,50.0400
2025-04-27 21:53:51.989,13200,50.0400
2025-04-27 21:53:52.039,13220,50.1700
2025-04-27 21:53:52.088,13240,50.0700
2025-04-27 21:53:52.135,13260,50.0400
2025-04-27 21:53:52.185,13280,50.1800
2025-04-27 21:53:52.235,13300,50.0400
2025-04-27 21:53:52.281,13320,50.0700
2025-04-27 21:53:52.330,13340,50.1500
2025-04-27 21:53:52.378,13360,50.0400
2025-04-27 21:53:52.432,13380,50.1000
2025-04-27 21:53:52.495,13400,50.1200
2025-04-27 21:53:52.539,13420,50.0400
2025-04-27 21:53:52.589,13440,50.0600
2025-04-27 21:53:52.636,13460,50.1700
2025-04-27 21:53:52.683,13480,50.0400
2025-04-27 21:53:52.731,13500,50.1000
2025-04-27 21:53:52.777,13520,50.1100
2025-04-27 21:53:52.824,13540,50.0500
2025-04-27 21:53:52.869,13560,50.1300
2025-04-27 21:53:52.912,13580,50.0800
2025-04-27 21:53:52.962,13600,50.0600
2025-04-27 21:53:53.013,13620,50.1600
2025-04-27 21:53:53.057,13640,50.0600
2025-04-27 21:53:53.108,13660,50.1000
2025-04-27 21:53:53.156,13680,50.1000
2025-04-27 21:53:53.208,13700,50.0800
2025-04-27 21:53:53.255,13720,50.0700
2025-04-27 21:53:53.301,13740,50.1300
2025-04-27 21:53:53.350,13760,50.0700
2025-04-27 21:53:53.399,13780,50.1000
2025-04-27 21:53:53.440,13800,50.0900
2025-04-27 21:53:53.499,13820,50.1200
2025-04-27 21:53:53.543,13840,50.0700
2025-04-27 21:53:53.599,13860,50.0800
2025-04-27 21:53:53.650,13880,50.1200
2025-04-27 21:53:53.699,13900,50.0700
2025-04-27 21:53:53.744,13920,50.0600
2025-04-27 21:53:53.793,13940,50.1100
2025-04-27 21:53:53.835,13960,50.0600
2025-04-27 21:53:53.885,13980,50.1000
2025-04-27 21:53:53.932,14000,50.1100
2025-04-27 21:53:53.981,14020,50.0600
2025-04-27 21:53:54.031,14040,50.1000
2025-04-27 21:53:54.077,14060,50.1000
2025-04-27 21:53:54.127,14080,50.0800
2025-04-27 21:53:54.174,14100,50.1400
2025-04-27 21:53:54.224,14120,50.0600
2025-04-27 21:53:54.272,14140,50.0800
2025-04-27 21:53:54.355,14160,50.1200
2025-04-27 21:53:54.409,14180,50.1000
2025-04-27 21:53:54.452,14200,50.0600
2025-04-27 21:53:54.504,14220,50.1400
2025-04-27 21:53:54.557,14240,50.0800
2025-04-27 21:53:54.603,14260,50.0400
2025-04-27 21:53:54.652,14280,50.1400
2025-04-27 21:53:54.699,14300,50.0500
2025-04-27 21:53:54.750,14320,50.1000
2025-04-27 21:53:54.800,14340,50.1200
2025-04-27 21:53:54.848,14360,50.0200
2025-04-27 21:53:54.895,14380,50.1200
2025-04-27 21:53:54.946,14400,50.1300
2025-04-27 21:53:54.994,14420,50.0500
2025-04-27 21:53:55.041,14440,50.1200
2025-04-27 21:53:55.089,14460,50.1200
2025-04-27 21:53:55.144,14480,50.0600
2025-04-27 21:53:55.200,14500,50.0800
2025-04-27 21:53:55.250,14520,50.1300
2025-04-27 21:53:55.292,14540,50.0600
2025-04-27 21:53:55.397,14560,50.1100
2025-04-27 21:53:55.443,14580,50.1100
2025-04-27 21:53:55.492,14600,50.0400
2025-04-27 21:53:55.527,14620,50.1300
2025-04-27 21:53:55.586,14640,50.0800
2025-04-27 21:53:55.638,14660,50.0600
2025-04-27 21:53:55.687,14680,50.1500
2025-04-27 21:53:55.741,14700,50.0700
2025-04-27 21:53:55.790,14720,50.0700
2025-04-27 21:53:55.838,14740,50.1600
2025-04-27 21:53:55.895,14760,50.0600
2025-04-27 21:53:55.950,14780,50.0400
2025-04-27 21:53:55.999,14800,50.1500
2025-04-27 21:53:56.047,14820,50.0800
2025-04-27 21:53:56.095,14840,50.0400
2025-04-27 21:53:56.146,14860,50.1500
2025-04-27 21:53:56.189,14880,50.0400
2025-04-27 21:53:56.241,14900,50.0700
2025-04-27 21:53:56.291,14920,50.1400
2025-04-27 21:53:56.341,14940,50.0500
2025-04-27 21:53:56.386,14960,50.0900
2025-04-27 21:53:56.443,14980,50.1300
2025-04-27 21:53:56.490,15000,50.0500
2025-04-27 21:53:56.541,15020,50.0800
2025-04-27 21:53:56.591,15040,50.1400
2025-04-27 21:53:56.643,15060,50.0600
2025-04-27 21:53:56.696,15080,50.0500
2025-04-27 21:53:56.739,15100,50.1200
2025-04-27 21:53:56.790,15120,50.0400
2025-04-27 21:53:56.836,15140,50.1100
2025-04-27 21:53:56.882,15160,50.1000
2025-04-27 21:53:56.926,15180,50.1000
2025-04-27 21:53:56.975,15200,50.0700
2025-04-27 21:53:57.020,15220,50.1100
2025-04-27 21:53:57.067,15240,50.0700
2025-04-27 21:53:57.108,15260,50.0800
2025-04-27 21:53:57.156,15280,50.1000
2025-04-27 21:53:57.202,15300,50.0800
2025-04-27 21:53:57.248,15320,50.1100
2025-04-27 21:53:57.302,15340,50.1100
2025-04-27 21:53:57.345,15360,50.0500
2025-04-27 21:53:57.393,15380,50.1100
2025-04-27 21:53:57.442,15400,50.1200
2025-04-27 21:53:57.490,15420,50.0600
2025-04-27 21:53:57.539,15440,50.1100
2025-04-27 21:53:57.586,15460,50.1000
2025-04-27 21:53:57.629,15480,50.0600
2025-04-27 21:53:57.677,15500,50.1300
2025-04-27 21:53:57.725,15520,50.0800
2025-04-27 21:53:57.776,15540,50.0800
2025-04-27 21:53:57.822,15560,50.1000
2025-04-27 21:53:57.871,15580,50.0600
2025-04-27 21:53:57.919,15600,50.0800
2025-04-27 21:53:57.961,15620,50.1300
2025-04-27 21:53:58.016,15640,50.0700
2025-04-27 21:53:58.061,15660,50.1000
2025-04-27 21:53:58.118,15680,50.1100
2025-04-27 21:53:58.164,15700,50.0700
2025-04-27 21:53:58.213,15720,50.1000
2025-04-27 21:53:58.261,15740,50.0800
2025-04-27 21:53:58.311,15760,50.1300
2025-04-27 21:53:58.359,15780,50.0500
2025-04-27 21:53:58.405,15800,50.1300
2025-04-27 21:53:58.450,15820,50.0600
2025-04-27 21:53:58.497,15840,50.1100
2025-04-27 21:53:58.543,15860,50.1200
2025-04-27 21:53:58.598,15880,50.0700
2025-04-27 21:53:58.647,15900,50.0600
2025-04-27 21:53:58.713,15920,50.1100
2025-04-27 21:53:58.759,15940,50.0900
2025-04-27 21:53:58.801,15960,50.1200
2025-04-27 21:53:58.856,15980,50.0600
2025-04-27 21:53:58.905,16000,50.1100
2025-04-27 21:53:58.953,16020,50.0600
2025-04-27 21:53:59.019,16040,50.1800
2025-04-27 21:53:59.064,16060,50.3000
2025-04-27 21:53:59.113,16080,49.8300
2025-04-27 21:53:59.163,16100,50.3700
2025-04-27 21:53:59.212,16120,49.8100
2025-04-27 21:53:59.261,16140,50.3600
2025-04-27 21:53:59.309,16160,49.8300
2025-04-27 21:53:59.353,16180,50.3300
2025-04-27 21:53:59.404,16200,49.8500
2025-04-27 21:53:59.454,16220,50.3500
2025-04-27 21:53:59.499,16240,49.8300
2025-04-27 21:53:59.555,16260,50.3900
2025-04-27 21:53:59.607,16280,49.8300
2025-04-27 21:53:59.653,16300,50.3100
2025-04-27 21:53:59.703,16320,49.8900
2025-04-27 21:53:59.751,16340,50.3400
2025-04-27 21:53:59.794,16360,50.1300
2025-04-27 21:53:59.844,16380,50.0700
2025-04-27 21:53:59.890,16400,50.1500
2025-04-27 21:53:59.941,16420,50.0000
2025-04-27 21:53:59.988,16440,50.1700
2025-04-27 21:54:00.029,16460,50.0500
2025-04-27 21:54:00.084,16480,50.0800
2025-04-27 21:54:00.133,16500,50.1200
2025-04-27 21:54:00.181,16520,50.1000
2025-04-27 21:54:00.230,16540,50.0200
2025-04-27 21:54:00.272,16560,50.1500
2025-04-27 21:54:00.326,16580,50.0400
2025-04-27 21:54:00.374,16600,50.1400
2025-04-27 21:54:00.418,16620,50.0900
2025-04-27 21:54:00.466,16640,50.0800
2025-04-27 21:54:00.520,16660,50.0700
2025-04-27 21:54:00.570,16680,50.1400
2025-04-27 21:54:00.618,16700,50.0700
2025-04-27 21:54:00.667,16720,50.0700
2025-04-27 21:54:00.714,16740,50.1400
2025-04-27 21:54:00.764,16760,50.0700
2025-04-27 21:54:00.812,16780,50.0700
2025-04-27 21:54:00.861,16800,50.1400
2025-04-27 21:54:00.910,16820,50.0400
2025-04-27 21:54:00.959,16840,50.1200
2025-04-27 21:54:01.007,16860,50.0800
2025-04-27 21:54:01.056,16880,50.1100
2025-04-27 21:54:01.106,16900,50.0600
2025-04-27 21:54:01.152,16920,50.1400
2025-04-27 21:54:01.202,16940,50.0400
2025-04-27 21:54:01.250,16960,50.1300
2025-04-27 21:54:01.298,16980,50.0900
2025-04-27 21:54:01.346,17000,50.0600
2025-04-27 21:54:01.393,17020,50.1000
2025-04-27 21:54:01.443,17040,50.1300
2025-04-27 21:54:01.492,17060,50.0500
2025-04-27 21:54:01.543,17080,50.0900
2025-04-27 21:54:01.584,17100,50.1300
2025-04-27 21:54:01.637,17120,50.0700
2025-04-27 21:54:01.686,17140,50.0700
2025-04-27 21:54:01.733,17160,50.1300
2025-04-27 21:54:01.774,17180,50.0600
2025-04-27 21:54:01.828,17200,50.1200
2025-04-27 21:54:01.873,17220,50.0800
2025-04-27 21:54:01.922,17240,50.1000
2025-04-27 21:54:01.993,17260,50.1000
2025-04-27 21:54:02.048,17280,50.1200
2025-04-27 21:54:02.096,17300,50.0500
2025-04-27 21:54:02.144,17320,50.1400
2025-04-27 21:54:02.194,17340,50.1000
2025-04-27 21:54:02.242,17360,50.0300
2025-04-27 21:54:02.291,17380,50.1300
2025-04-27 21:54:02.338,17400,50.0800
2025-04-27 21:54:02.387,17420,50.0500
2025-04-27 21:54:02.436,17440,50.1400
2025-04-27 21:54:02.485,17460,50.0500
2025-04-27 21:54:02.534,17480,50.0700
2025-04-27 21:54:02.591,17500,50.0700
2025-04-27 21:54:02.637,17520,50.1500
